Job Profile,Company,Location,CTC,EXPERIENCE,LOGO
Business Development Executive,AMB Logistic,Mumbai,"₹ 2,00,000 - 2,50,000",0-1 years,none
Content/Social Media Manager,Rudralife,Mumbai,"₹ 3,00,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F647d813a412271685946682.png.webp
Graphic Designer,Rudralife,Mumbai,"₹ 2,50,000",1-2 years,https://internshala-uploads.internshala.com/logo%2F647d813a412271685946682.png.webp
Accountant,RAJENDRA SHAH,"Mumbai, Bandra","₹ 2,00,000 - 3,00,000",1-5 years,none
Video Editor,Expertrons,Mumbai                                            (Hybrid),"₹ 3,50,000 - 4,10,000",0-1 years,https://internshala.com/uploads/logo%2F635fded8b34091667227352.jpeg
Chartered Accountant (CA),Hari Agarwal And Associates,Hyderabad,"₹ 3,60,000 - 6,00,000",0-3 years,https://internshala-uploads.internshala.com/logo%2Fatt1ypwj6r5-19685.jpg.webp
Accounts Executive,Hari Agarwal And Associates,Hyderabad,"₹ 2,00,000 - 2,01,000",0-2 years,https://internshala-uploads.internshala.com/logo%2Fatt1ypwj6r5-19685.jpg.webp
Personal Assistant To CA,Hari Agarwal And Associates,Hyderabad,"₹ 2,00,000 - 2,10,000",0-2 years,https://internshala-uploads.internshala.com/logo%2Fatt1ypwj6r5-19685.jpg.webp
Accountant,APLAN And Associates,Pune,"₹ 5,00,000 - 5,00,001",2 years,none
Graphic Designer,Localitaz Geofencing Innovations Private Limited,Delhi,"₹ 2,00,000",1 year,https://internshala-uploads.internshala.com/logo%2F81i31vl1q2n-19821.png.webp
Educator,SSB Edutech,Meerut,"₹ 2,20,000 - 2,50,000",0-1 years,https://internshala.com/uploads/logo%2F7jbkyh7cbd_-11985.jpeg
Junior Travel & Tourism Specialist,Renowned Buildtech Private Limited,Noida,"₹ 3,00,000 - 6,00,000",1-2 years,https://internshala-uploads.internshala.com/logo%2F4bn7n82o3vg-45130.jpg.webp
Fashion Designer,Bluntly Streaming,"Delhi, Gurgaon, Noida","₹ 2,00,000",1 year,none
Client Acquisition Associate,Fabulous Media Private Limited,Gurgaon,"₹ 2,00,000 - 3,00,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F5e2fdcdca69771580195036.png.webp
Admission Counsellor,Future Skills,Hyderabad,"₹ 2,00,000 - 2,40,000",0 years,https://internshala-uploads.internshala.com/logo%2F639aca62f1bfa1671088738.jpg.webp
Store Management,Localitaz Geofencing Innovations Private Limited,Delhi,"₹ 3,00,000",1 year,https://internshala-uploads.internshala.com/logo%2F81i31vl1q2n-19821.png.webp
Field Sales Executive,Gainers Realtors LLP,Gurgaon                                            (Hybrid),"₹ 2,50,000 - 4,20,000",0-2 years,none
Program & Project Coordinator,"SINE, IIT Bombay",Mumbai,"₹ 5,00,000 - 6,00,000",2 years,none
Sales Executive,Yoskies Aviation Center,Pune,"₹ 2,00,000",0-5 years,none
Customer Success Executive,Xobin Technologies Private Limited,Mumbai                                            (Hybrid),"₹ 3,00,000 - 5,00,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F630c5191110f91661751697.png.webp
Business Development Executive,Blue Rose Publishers,Noida,"₹ 2,50,000 - 3,00,000",1-2 years,https://internshala-uploads.internshala.com/logo%2F5e2fdd4b9c3851580195147.jpg.webp
Assistant Manager,Blue Rose Publishers,Noida,"₹ 2,64,000",1-2 years,https://internshala-uploads.internshala.com/logo%2F5e2fdd4b9c3851580195147.jpg.webp
Dietitian,Cafe Nutrition,Mumbai,"₹ 2,16,000 - 2,76,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F5e2fde7d8a55c1580195453.png.webp
Business Development Executive,Prepca Eduserv Private Limited,Pune,"₹ 5,50,000 - 7,00,000",0-4 years,https://internshala-uploads.internshala.com/logo%2F622b3a86b22fb1647000198.png.webp
Junior Graphic Designer,MoLog Media & Advertising,Gurgaon,"₹ 3,00,000 - 7,00,000",1-4 years,https://internshala-uploads.internshala.com/logo%2F63b98936201111673103670.png.webp
Telesales Specialist,Prepca Eduserv Private Limited,Pune,"₹ 5,00,000 - 7,00,000",0-3 years,https://internshala-uploads.internshala.com/logo%2F622b3a86b22fb1647000198.png.webp
Fulfillment Center Manager,BlobCity,Mumbai,"₹ 4,20,000",1-4 years,https://internshala-uploads.internshala.com/logo%2F5e2fdbe09fb381580194784.png.webp
Telecaller,No Worry No Tension Healthcare Private Limited,Delhi,"₹ 2,40,000 - 3,00,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F61b84c0d885b21639468045.png.webp
Human Resources (HR) Executive,MyMedicineBox - 3S Healthcare Private Limited,Mumbai,"₹ 2,00,000 - 2,40,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F61ef2696d035d1643062934.png.webp
Telecaller,MyMedicineBox - 3S Healthcare Private Limited,Mumbai,"₹ 2,00,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F61ef2696d035d1643062934.png.webp
Executive Assistant (EA),Fabulous Media Private Limited,Gurgaon,"₹ 2,00,000 - 3,00,000",1-2 years,https://internshala-uploads.internshala.com/logo%2F5e2fdcdca69771580195036.png.webp
Fashion Consultant,Growify Digital,Delhi,"₹ 2,00,000 - 4,50,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F62456d8f36c1d1648717199.png.webp
Junior Graphic Designer,Growify Digital,Delhi,"₹ 5,00,000 - 60,00,000",2-4 years,https://internshala-uploads.internshala.com/logo%2F62456d8f36c1d1648717199.png.webp
Digital Marketing - Performance Marketing,Growify Digital,Delhi,"₹ 2,00,000 - 2,50,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F62456d8f36c1d1648717199.png.webp
Career Counsellor,MentorKart (DGguru Learning Solutions Private Limited),Noida,"₹ 2,58,000 - 3,00,000",1-3 years,https://internshala-uploads.internshala.com/logo%2Fysb5afq6mb_-11107.png.webp
Relationship Manager,Fusion Beauty,Delhi,"₹ 2,00,000 - 3,00,000",0-5 years,none
Customer Service Manager,Crossing Hurdles,Gurgaon,"₹ 3,00,000 - 5,00,000",1-4 years,https://internshala-uploads.internshala.com/logo%2F1a6dwxymgkz-65221.png.webp
Junior Operations Executive,MSAG Skill India LLP,Delhi,"₹ 2,00,000 - 2,30,000",1-4 years,https://internshala-uploads.internshala.com/logo%2F5e2fde731c9171580195443.png.webp
Content Creator (E - Commerce),Astro Arun Pandit,Noida,"₹ 2,40,000 - 3,50,000",1-3 years,none
Stenographer,P Vishnuvardhana Reddy,Hyderabad,"₹ 2,50,000",0-1 years,none
Telecaller,Fusion Beauty,Delhi,"₹ 2,00,000 - 4,00,000",0-5 years,none
Behavioural Skills Trainer,Kapable.club,Delhi,"₹ 5,00,000 - 9,00,000",1-5 years,https://internshala-uploads.internshala.com/logo%2F61df00683b6be1642004584.png.webp
Associate Java Developer,Sharedpro,Vadodara,"₹ 3,00,000 - 4,80,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F5e2fdd70ed2881580195184.png.webp
Video Editor,ATZA Digital,Delhi,"₹ 3,00,000 - 4,44,000",1-3 years,https://internshala-uploads.internshala.com/logo%2Ffo08rjazxci-26378.jpg.webp
Scriptwriter,Bluntly Streaming,"Delhi, Gurgaon, Noida","₹ 2,00,000",1-2 years,none
Administration Executive,Hari Agarwal And Associates,Hyderabad,"₹ 2,00,000 - 2,02,000",0-1 years,https://internshala-uploads.internshala.com/logo%2Fatt1ypwj6r5-19685.jpg.webp
Technical Manager,Localitaz Geofencing Innovations Private Limited,Delhi,"₹ 2,00,000",1 year,https://internshala-uploads.internshala.com/logo%2F81i31vl1q2n-19821.png.webp
